index,SKU,BANK_NAME,MTG_PRODUCT_SUBTITLE,MTG_PRODUCT_TYPE_RAW,MTG_PRODUCT_TYPE,MTG_PRODUCT_YEARS,MTG_INITIAL_RATE_PCT,MTG_APR_PCT,MTG_REVERT_RATE,MTG_FEES_TOTAL,MTG_INITIAL_RATE_MONTHS,SCAN_DATE,TID
6377,3744065,Buckinghamshire Building Society,First time buyer,3 year discounted,discounted,25,4.29,6.1,6.39,1379.0,36,2022-10-16 06:42:26,489561
6378,3557659,Teachers Building Society,First time buyer,2 year discounted,discounted,25,4.39,6.4,6.69,110.0,24,2022-10-16 06:42:26,489562
6379,3730807,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.39,7.0,7.24,1840.0,24,2022-10-16 06:42:26,489563
6380,1000716600,Santander,First time buyer,2 year tracker,tracker,25,4.44,5.5,5.5,1034.0,24,2022-10-16 06:42:26,489564
6381,3730816,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.44,7.0,7.24,1840.0,24,2022-10-16 06:42:26,489565
6382,3480285,The Mansfield Building Society,First time buyer,2 year discounted,discounted,25,4.48,6.5,6.59,1639.0,24,2022-10-16 06:42:26,489566
6383,3730808,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.49,7.0,7.24,1840.0,24,2022-10-16 06:42:26,489567
6384,3690470,Ecology Building Society,First time buyer,Lifetime variable,variable,25,4.49,4.6,,900.0,300,2022-10-16 06:42:26,489568
6385,3244264,Swansea Building Society,First time buyer,Lifetime discounted,discounted,25,4.5,4.6,,874.0,300,2022-10-16 06:42:26,489569
6386,3730822,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.54,7.0,7.24,1340.0,24,2022-10-16 06:42:26,489570
6387,3695924,Beverley Building Society,First time buyer,2 year discounted,discounted,25,4.59,5.8,5.74,2035.0,24,2022-10-16 06:42:26,489571
6388,3480289,The Mansfield Building Society,First time buyer,2 year discounted,discounted,25,4.63,6.5,6.59,1639.0,24,2022-10-16 06:42:26,489572
6389,3557655,Teachers Building Society,First time buyer,2 year discounted,discounted,25,4.69,6.5,6.69,110.0,24,2022-10-16 06:42:26,489573
6390,3730832,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.69,7.1,7.24,1840.0,24,2022-10-16 06:42:26,489574
6391,3730850,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.74,7.0,7.24,1340.0,24,2022-10-16 06:42:26,489575
6392,3331370,Hanley Economic Building Society,First time buyer,2 year discounted,discounted,25,4.74,5.8,5.69,1499.0,24,2022-10-16 06:42:26,489576
6393,3730817,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.94,7.1,7.24,1840.0,24,2022-10-16 06:42:26,489577
6394,3113765,Teachers Building Society,First time buyer,2 year discounted,discounted,25,4.99,6.6,6.69,309.0,24,2022-10-16 06:42:26,489578
6395,3730809,Foundation Home Loans,First time buyer,2 year discounted,discounted,25,4.99,7.1,7.24,1840.0,24,2022-10-16 06:42:26,489579
6396,3690471,Ecology Building Society,First time buyer,Lifetime variable,variable,25,4.99,5.1,,600.0,300,2022-10-16 06:42:26,489580
